Class,AntiSingleton,ClassDataShouldBePrivate,RefusedParentBequest,ComplexClass,LazyClass,LongParameterList,SpeculativeGenerality
org.apache.xml.serializer.ToUnknownStream,0,0,0,0,0,0,0
org.apache.xalan.xslt.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.ProcessingInstruction,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.Copy,0,0,0,0,0,0,0
org.apache.xalan.xsltc.dom.AdaptiveResultTreeImpl,0,0,0,0,0,1,0
org.apache.xalan.xsltc.trax.TransformerImpl,0,0,0,1,0,0,0
org.apache.xalan.templates.AVTPart,0,0,0,0,0,0,0
org.apache.xalan.templates.FuncDocument,0,0,0,0,0,0,0
org.apache.xalan.transformer.XalanTransformState,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.CallTemplate,0,0,0,0,0,0,0
org.apache.xalan.processor.ProcessorLRE,0,0,0,0,0,2,0
org.apache.xml.utils.synthetic.JavaUtils,0,0,0,0,0,0,0
org.apache.xalan.templates.ElemExsltFunction,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.LocationPathPattern,0,0,0,0,0,0,0
org.apache.xpath.axes.ReverseAxesWalker,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.ValueOf,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.CUP$XPathParser$actions,0,0,0,0,0,0,0
org.apache.xalan.xsltc.dom.SortingIterator,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.AttributeSet,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.DTMStringPool,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.ObjectArray,0,0,0,0,0,0,0
org.apache.xpath.operations.Quo,0,0,0,0,0,0,0
org.apache.xpath.XPathContext,0,19,0,13,0,8,0
org.apache.xalan.xsltc.compiler.util.ObjectFactory,0,0,0,0,0,0,0
org.apache.xpath.res.XPATHErrorResources_pt_BR,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.ObjectFactory,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncContains,0,0,0,0,0,0,0
org.apache.xml.utils.NamespaceSupport2,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.XConnection,0,0,0,0,0,2,0
org.apache.xpath.compiler.XPathParser,0,0,0,2,0,0,0
org.apache.xml.utils.synthetic.Class,0,0,0,0,0,0,0
org.apache.xpath.res.XPATHErrorResources,0,0,0,0,0,0,0
org.apache.xpath.objects.XNull,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.Pattern,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.RelativeLocationPath,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncTrue,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.MultiHashtable,0,0,0,0,0,0,0
org.apache.xalan.xsltc.dom.DOMAdapter,0,0,0,0,0,1,0
org.apache.xpath.functions.FuncSystemProperty,2,0,0,0,0,0,0
org.apache.xml.serializer.NamespaceMappings,0,0,0,0,0,0,0
org.apache.xalan.templates.FuncFormatNumb,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncConcat,0,0,0,0,0,0,0
org.apache.xalan.xsltc.trax.XSLTCSource,0,0,0,0,0,0,0
org.apache.xalan.res.XSLTErrorResources_tr,0,0,0,0,0,0,0
